date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:09:19	1471/1471	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2011%20Oct%202023%2008:39:20%20GMT	https://goldengateinvestments.net/robots.txt		(from )
14:09:19	37314/37314	---MCZ	200	added ('OK')	text/html	etag:W/%22f62a30e5946f2d8b0e34fb08a4c05d0e%22	https://goldengateinvestments.net/	C:/My%20Web%20Sites/office/goldengateinvestments.net/index.html	(from )
14:09:20	387125/387125	---M--	200	added ('OK')	image/png	etag:%226944263900d10719d1f5dd65346d2b2c%22	https://goldengateinvestments.net/assets/images/Logo.png	C:/My%20Web%20Sites/office/goldengateinvestments.net/assets/images/Logo.png	(from https://goldengateinvestments.net/)
14:09:20	8709/8709	---MCZ	200	added ('OK')	text/css	etag:W/%22f913bb3b156d13516c0ff37b577fc00f%22	https://goldengateinvestments.net/assets/web/assets/mobirise-icons2/mobirise2.css	C:/My%20Web%20Sites/office/goldengateinvestments.net/assets/web/assets/mobirise-icons2/mobirise2.css	(from https://goldengateinvestments.net/)
14:09:20	155590/155590	---MCZ	200	added ('OK')	text/css	etag:W/%22466cd60948b2af44e5aa3b76e213785c%22	https://goldengateinvestments.net/assets/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/office/goldengateinvestments.net/assets/bootstrap/css/bootstrap.min.css	(from https://goldengateinvestments.net/)
14:09:20	51457/51457	---MCZ	200	added ('OK')	text/css	etag:W/%22e86be8e37fb82ff90609635fe463480a%22	https://goldengateinvestments.net/assets/bootstrap/css/bootstrap-grid.min.css	C:/My%20Web%20Sites/office/goldengateinvestments.net/assets/bootstrap/css/bootstrap-grid.min.css	(from https://goldengateinvestments.net/)
14:09:20	4623/4623	---MCZ	200	added ('OK')	text/css	etag:W/%22a5751a065a1c7de997f17a0f903ee683%22	https://goldengateinvestments.net/assets/bootstrap/css/bootstrap-reboot.min.css	C:/My%20Web%20Sites/office/goldengateinvestments.net/assets/bootstrap/css/bootstrap-reboot.min.css	(from https://goldengateinvestments.net/)
14:09:21	99437/99437	---MCZ	200	added ('OK')	text/css	etag:W/%2208617e3d544dde0b1097c07962037f32%22	https://goldengateinvestments.net/assets/animatecss/animate.css	C:/My%20Web%20Sites/office/goldengateinvestments.net/assets/animatecss/animate.css	(from https://goldengateinvestments.net/)
14:09:21	7945/7945	---MCZ	200	added ('OK')	text/css	etag:W/%2255bf276f73ef7c88f98c8a79e9a42488%22	https://goldengateinvestments.net/assets/dropdown/css/style.css	C:/My%20Web%20Sites/office/goldengateinvestments.net/assets/dropdown/css/style.css	(from https://goldengateinvestments.net/)
14:09:21	16463/16463	---MCZ	200	added ('OK')	text/css	etag:W/%221de5025d951167f55bd7eec0480d3562%22	https://goldengateinvestments.net/assets/socicon/css/styles.css	C:/My%20Web%20Sites/office/goldengateinvestments.net/assets/socicon/css/styles.css	(from https://goldengateinvestments.net/)
